Epoch,Episodes,Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Pos_7,Pos_8,Pos_9,Pos_10,Pos_11
0,1-200,164,91,12,137,27,168,10,174,19,133,32,201
1,201-400,309,197,29,241,38,254,23,324,30,280,67,329
2,401-600,362,181,31,337,51,307,33,405,27,394,71,442
3,601-800,471,213,37,379,66,395,21,379,17,513,57,451
4,801-1000,435,163,47,398,69,378,30,358,13,602,53,519
5,1001-1200,487,152,33,378,29,336,17,275,3,742,22,489
6,1201-1400,536,113,36,435,21,267,24,278,4,822,25,562
7,1401-1600,583,115,33,487,29,312,20,288,5,894,11,590
8,1601-1800,595,103,24,482,12,277,11,227,3,992,14,575
9,1801-2000,669,53,13,476,4,223,11,171,0,1079,6,640
10,2001-2200,731,41,12,516,13,230,6,164,0,1124,13,634
11,2201-2400,773,43,7,485,15,216,2,141,0,1109,4,660
12,2401-2600,740,36,6,499,31,233,4,172,1,1137,9,699
13,2601-2800,790,24,5,486,9,152,1,155,0,1156,3,729
14,2801-3000,816,11,3,537,7,138,0,128,0,1224,11,752
15,3001-3200,755,13,6,519,8,156,1,126,0,1329,5,781
16,3201-3400,840,5,2,451,1,99,0,100,0,1235,3,774
17,3401-3600,847,6,2,526,0,109,1,112,0,1360,2,829
18,3601-3800,959,12,1,535,2,117,0,94,0,1323,2,863
19,3801-4000,1001,1,1,504,3,108,0,61,0,1390,0,981
20,4001-4200,1060,0,0,463,2,41,2,47,0,1438,0,995
21,4201-4400,1140,0,0,447,0,19,0,31,0,1482,0,1047
22,4401-4600,1164,0,0,419,0,16,0,33,0,1553,0,1126
23,4601-4800,1250,0,0,382,0,10,0,15,0,1576,0,1185
24,4801-5000,1253,0,0,493,1,7,0,25,0,1583,1,1172
25,5001-5200,1219,0,0,434,1,8,0,27,0,1621,0,1275
26,5201-5400,1334,0,0,357,0,5,0,7,0,1620,0,1249
27,5401-5600,1296,0,0,389,0,2,0,18,0,1635,0,1307
28,5601-5800,1379,0,0,331,0,1,0,10,0,1656,0,1372
29,5801-6000,1469,0,0,304,0,0,0,12,0,1749,0,1487
30,6001-6200,1504,0,0,312,0,0,0,7,0,1699,1,1496
31,6201-6400,1486,0,0,323,0,0,0,18,0,1724,0,1527
32,6401-6600,1548,0,0,266,0,0,0,2,0,1721,0,1536
33,6601-6800,1589,0,0,271,0,0,0,1,0,1704,0,1547
34,6801-7000,1645,0,0,270,0,0,0,0,0,1761,0,1599
35,7001-7200,1677,0,0,224,0,0,0,0,0,1773,0,1623
36,7201-7400,1686,0,0,225,0,0,0,5,0,1827,0,1680
37,7401-7600,1709,0,0,193,0,0,0,7,0,1745,0,1631
38,7601-7800,1604,0,0,216,0,0,0,18,0,1855,0,1718
39,7801-8000,1676,0,0,226,0,0,0,6,0,1820,0,1701
40,8001-8200,1729,0,0,218,0,0,0,0,0,1842,0,1729
41,8201-8400,1774,0,0,209,0,0,0,0,0,1825,0,1721
42,8401-8600,1796,0,0,179,0,0,0,0,0,1788,0,1703
43,8601-8800,1822,0,0,186,0,0,0,0,0,1743,0,1657
44,8801-9000,1810,0,0,138,0,0,0,0,0,1857,0,1792
45,9001-9200,1728,0,0,170,0,0,0,0,0,1927,0,1851
46,9201-9400,1896,0,0,154,0,0,0,0,0,1822,0,1766
47,9401-9600,1833,0,0,165,0,0,0,0,0,1832,0,1788
48,9601-9800,1774,0,0,152,0,0,0,0,0,1924,0,1853
49,9801-10000,1848,0,0,140,0,0,0,0,0,1902,0,1860
50,10001-10200,1834,0,0,144,0,0,0,0,0,1939,0,1854
51,10201-10400,1822,0,0,83,0,0,0,0,0,1923,0,1867
52,10401-10600,1894,0,0,90,0,0,0,0,0,1914,0,1848
53,10601-10800,1836,0,0,109,0,0,0,0,0,1983,0,1941
54,10801-11000,1932,0,0,110,1,1,0,1,0,1893,0,1818
55,11001-11200,1898,0,0,124,0,1,0,0,0,1903,0,1858
56,11201-11400,1907,0,0,74,0,5,0,0,0,1940,0,1913
57,11401-11600,1903,0,0,89,0,2,0,2,0,1950,0,1903
58,11601-11800,1939,0,0,90,0,4,0,0,0,1934,0,1902
59,11801-12000,1906,0,0,120,0,1,0,0,0,1891,0,1860
60,12001-12200,1883,0,0,119,0,2,0,0,0,1941,0,1922
61,12201-12400,1810,0,0,154,1,2,0,2,0,1985,0,1952
62,12401-12600,1820,0,0,113,0,6,0,0,0,1966,0,1925
63,12601-12800,1850,0,0,117,0,26,0,1,0,1927,0,1892
64,12801-13000,1902,0,0,91,0,6,0,1,0,1911,0,1888
65,13001-13200,1824,0,0,111,0,12,0,2,0,1958,0,1944
66,13201-13400,1948,0,0,107,0,16,0,1,0,1882,0,1868
67,13401-13600,1793,0,0,132,0,25,0,0,0,1976,0,1959
68,13601-13800,1824,0,0,122,0,1,0,0,0,2017,0,1985
69,13801-14000,1919,0,0,92,0,0,0,0,0,1994,0,1950
70,14001-14200,1975,0,0,79,0,0,0,0,0,1899,0,1871
71,14201-14400,1941,0,0,61,0,0,0,0,0,1996,0,1933
72,14401-14600,1959,0,0,58,0,0,0,0,0,1968,0,1934
73,14601-14800,1947,0,0,92,0,1,0,0,0,1999,0,1940
74,14801-15000,1947,0,0,52,0,0,0,1,0,1987,0,1961
75,15001-15200,1957,0,0,49,0,1,0,3,0,1996,1,1974
76,15201-15400,1990,0,0,63,0,2,0,4,0,1948,0,1929
77,15401-15600,1938,0,0,75,0,1,0,0,0,1987,0,1956
78,15601-15800,1989,0,0,62,0,0,0,0,0,1960,0,1923
79,15801-16000,1990,0,0,56,0,0,0,0,0,2002,0,1971
80,16001-16200,1966,0,0,36,0,0,0,0,0,2027,0,2013
81,16201-16400,2018,0,0,38,0,0,0,0,0,1945,0,1929
82,16401-16600,1973,0,0,39,0,0,0,0,0,2011,0,1990
83,16601-16800,1986,0,0,33,0,0,0,0,0,2004,0,1965
84,16801-17000,2020,0,0,46,0,0,0,0,0,1962,0,1950
85,17001-17200,2034,0,0,29,0,0,0,0,0,1936,0,1923
86,17201-17400,1947,0,0,67,0,0,0,0,0,2023,0,2015
87,17401-17600,1958,0,0,47,0,0,0,0,0,2034,0,2007
88,17601-17800,1892,0,0,42,0,0,0,0,0,2059,0,2028
89,17801-18000,1966,0,0,38,0,0,0,0,0,2037,0,2011
90,18001-18200,1963,0,0,60,0,0,0,0,0,1978,0,1960
91,18201-18400,2019,0,0,49,0,0,0,1,0,1955,0,1941
92,18401-18600,1915,0,0,46,0,0,0,1,0,2044,0,2010
93,18601-18800,1941,0,0,41,0,0,0,1,0,2041,0,2029
94,18801-19000,1992,0,0,29,0,0,0,0,0,1989,0,1953
95,19001-19200,1974,0,0,30,0,0,0,1,0,1978,0,1945
96,19201-19400,1992,0,0,61,0,0,0,1,0,1962,0,1935
97,19401-19600,1999,0,0,42,0,0,0,1,0,1981,0,1964
98,19601-19800,1957,0,0,57,0,0,0,0,0,1961,0,1947
99,19801-20000,2004,0,0,20,0,0,0,1,0,1977,0,1960
TOTAL,1-20000,156268,1573,340,20754,441,4699,217,4447,122,169397,413,155491
