Epoch,Episodes,Total_Hits,Top_Edge,Center,Bottom_Edge,Edge_Hits,Edge_Percent,Avg_Angle
0,1-200,1339,374,524,441,815,60.9,44.8
1,201-400,2609,738,1073,798,1536,58.9,43.1
2,401-600,2936,774,1163,999,1773,60.4,43.4
3,601-800,3263,714,1291,1258,1972,60.4,43.1
4,801-1000,3342,741,1255,1346,2087,62.4,44.2
5,1001-1200,3347,651,1079,1617,2268,67.8,46.4
6,1201-1400,3443,716,975,1752,2468,71.7,48.1
7,1401-1600,3436,784,779,1873,2657,77.3,50.6
8,1601-1800,3912,860,730,2322,3182,81.3,52.6
9,1801-2000,3960,941,616,2403,3344,84.4,54.2
10,2001-2200,4141,1025,586,2530,3555,85.8,55.0
11,2201-2400,4287,1087,520,2680,3767,87.9,56.0
12,2401-2600,4250,1141,443,2666,3807,89.6,57.0
13,2601-2800,4543,1184,467,2892,4076,89.7,57.0
14,2801-3000,4548,1257,426,2865,4122,90.6,57.7
15,3001-3200,4741,1197,464,3080,4277,90.2,57.2
16,3201-3400,4701,1349,424,2928,4277,91.0,58.1
17,3401-3600,4832,1433,354,3045,4478,92.7,58.7
18,3601-3800,4936,1419,342,3175,4594,93.1,58.9
19,3801-4000,4958,1497,391,3070,4567,92.1,58.7
20,4001-4200,5135,1561,294,3280,4841,94.3,59.7
21,4201-4400,5168,1581,259,3328,4909,95.0,60.1
22,4401-4600,5240,1652,216,3372,5024,95.9,60.6
23,4601-4800,5368,1619,243,3506,5125,95.5,60.2
24,4801-5000,5414,1634,232,3548,5182,95.7,60.3
25,5001-5200,5382,1755,197,3430,5185,96.3,61.0
26,5201-5400,5461,1727,200,3534,5261,96.3,60.8
27,5401-5600,5606,1781,165,3660,5441,97.1,61.1
28,5601-5800,5662,1852,160,3650,5502,97.2,61.4
29,5801-6000,5734,1816,160,3758,5574,97.2,61.2
30,6001-6200,5784,1812,162,3810,5622,97.2,61.2
31,6201-6400,5826,1814,158,3854,5668,97.3,61.2
32,6401-6600,5708,1899,125,3684,5583,97.8,61.7
33,6601-6800,5778,1950,105,3723,5673,98.2,61.9
34,6801-7000,5792,1927,135,3730,5657,97.7,61.7
35,7001-7200,5916,1848,118,3950,5798,98.0,61.5
36,7201-7400,5877,1833,119,3925,5758,98.0,61.5
37,7401-7600,5800,1899,100,3801,5700,98.3,61.8
38,7601-7800,5673,1928,90,3655,5583,98.4,62.0
39,7801-8000,5780,1916,74,3790,5706,98.7,62.0
40,8001-8200,5829,1926,99,3804,5730,98.3,61.9
41,8201-8400,5908,1908,122,3878,5786,97.9,61.7
42,8401-8600,5939,1862,107,3970,5832,98.2,61.6
43,8601-8800,5909,1873,118,3918,5791,98.0,61.6
44,8801-9000,5865,1883,134,3848,5731,97.7,61.6
45,9001-9200,5930,1885,90,3955,5840,98.5,61.7
46,9201-9400,5963,1928,61,3974,5902,99.0,62.1
47,9401-9600,5970,1934,86,3950,5884,98.6,61.9
48,9601-9800,6033,1892,76,4065,5957,98.7,61.8
49,9801-10000,6021,1889,64,4068,5957,98.9,61.9
50,10001-10200,5958,1937,94,3927,5864,98.4,61.9
51,10201-10400,6038,1929,63,4046,5975,99.0,62.0
52,10401-10600,6016,1889,76,4051,5940,98.7,61.8
53,10601-10800,6000,1893,90,4017,5910,98.5,61.8
54,10801-11000,6004,1970,54,3980,5950,99.1,62.2
55,11001-11200,5829,1948,74,3807,5755,98.7,62.0
56,11201-11400,5956,1925,106,3925,5850,98.2,61.8
57,11401-11600,5904,1960,44,3900,5860,99.3,62.3
58,11601-11800,5951,1963,54,3934,5897,99.1,62.2
59,11801-12000,6056,1952,70,4034,5986,98.8,62.0
60,12001-12200,5991,1946,45,4000,5946,99.2,62.2
61,12201-12400,6032,1968,52,4012,5980,99.1,62.2
62,12401-12600,6046,1939,52,4055,5994,99.1,62.1
63,12601-12800,5946,2013,52,3881,5894,99.1,62.3
64,12801-13000,6032,1982,57,3993,5975,99.1,62.1
65,13001-13200,6036,1956,43,4037,5993,99.3,62.2
66,13201-13400,5681,1923,53,3705,5628,99.1,62.3
67,13401-13600,5804,1967,92,3745,5712,98.4,62.0
68,13601-13800,5855,1970,88,3797,5767,98.5,62.1
69,13801-14000,5790,1931,88,3771,5702,98.5,61.9
70,14001-14200,5945,1779,157,4009,5788,97.4,61.1
71,14201-14400,5896,1934,132,3830,5764,97.8,61.6
72,14401-14600,6015,1883,108,4024,5907,98.2,61.6
73,14601-14800,5922,1942,76,3904,5846,98.7,61.9
74,14801-15000,6014,1819,64,4131,5950,98.9,61.7
75,15001-15200,5974,1968,71,3935,5903,98.8,62.0
76,15201-15400,5874,1920,45,3909,5829,99.2,62.1
77,15401-15600,6030,1931,74,4025,5956,98.8,62.0
78,15601-15800,5993,1917,53,4023,5940,99.1,62.0
79,15801-16000,5990,1999,42,3949,5948,99.3,62.3
80,16001-16200,5899,2019,67,3813,5832,98.9,62.3
81,16201-16400,5973,1993,37,3943,5936,99.4,62.3
82,16401-16600,5874,2049,50,3775,5824,99.1,62.5
83,16601-16800,6003,1972,41,3990,5962,99.3,62.2
84,16801-17000,5944,1992,52,3900,5892,99.1,62.3
85,17001-17200,5945,1940,31,3974,5914,99.5,62.2
86,17201-17400,6005,2005,26,3974,5979,99.6,62.4
87,17401-17600,6081,2021,22,4038,6059,99.6,62.4
88,17601-17800,6009,1973,41,3995,5968,99.3,62.3
89,17801-18000,6029,2031,40,3958,5989,99.3,62.4
90,18001-18200,5945,2009,29,3907,5916,99.5,62.5
91,18201-18400,6023,2013,56,3954,5967,99.1,62.2
92,18401-18600,6091,1989,59,4043,6032,99.0,62.1
93,18601-18800,6015,1982,41,3992,5974,99.3,62.3
94,18801-19000,5959,1910,27,4022,5932,99.5,62.2
95,19001-19200,6085,1937,67,4081,6018,98.9,62.0
96,19201-19400,5994,2012,30,3952,5964,99.5,62.4
97,19401-19600,6126,1951,45,4130,6081,99.3,62.1
98,19601-19800,6006,2016,26,3964,5980,99.6,62.4
99,19801-20000,6092,1969,31,4092,6061,99.5,62.2
TOTAL,1-20000,547671,172502,21158,354011,526513,96.1,60.7
